Model: LinearRegression
Predictions vs Actual Values:
Predicted: 5614810.4571, Actual: 5229000.0000
Predicted: 4023218.4670, Actual: 4690000.0000
Predicted: 2053003.6536, Actual: 2660000.0000
Predicted: 5942325.4466, Actual: 8645000.0000
Predicted: 3962109.7778, Actual: 4900000.0000
Predicted: 7476706.2450, Actual: 6195000.0000
Predicted: 7156068.5203, Actual: 8400000.0000
Predicted: 7391671.4005, Actual: 12250000.0000
Predicted: 4952553.6811, Actual: 6230000.0000
Predicted: 5262062.9621, Actual: 5600000.0000
Predicted: 7287627.1967, Actual: 7525000.0000
Predicted: 4974176.4585, Actual: 5495000.0000
Predicted: 5708823.9205, Actual: 4970000.0000
Predicted: 5105180.3098, Actual: 5530000.0000
Predicted: 4781796.9900, Actual: 5600000.0000
Predicted: 5561292.6476, Actual: 5950000.0000
Predicted: 3562392.1112, Actual: 2653000.0000
Predicted: 7651514.7386, Actual: 7210000.0000
Predicted: 3441064.7155, Actual: 4319000.0000
Predicted: 3273355.5003, Actual: 2835000.0000
Predicted: 3095441.7720, Actual: 4340000.0000
Predicted: 4070120.8020, Actual: 5740000.0000
Predicted: 6451042.3163, Actual: 3640000.0000
Predicted: 4565875.3863, Actual: 3780000.0000
Predicted: 3418621.3465, Actual: 2520000.0000
Predicted: 3690113.6075, Actual: 3990000.0000
Predicted: 7420011.1845, Actual: 8400000.0000
Predicted: 3230067.8286, Actual: 3360000.0000
Predicted: 4121107.6357, Actual: 4165000.0000
Predicted: 6013762.3683, Actual: 5320000.0000
Predicted: 3046516.3922, Actual: 3675000.0000
Predicted: 3452357.5329, Actual: 2800000.0000
Predicted: 3688875.3370, Actual: 3220000.0000
Predicted: 3209295.1565, Actual: 3710000.0000
Predicted: 2774477.1280, Actual: 2695000.0000
Predicted: 3195037.8660, Actual: 2660000.0000
Predicted: 4554844.8268, Actual: 5243000.0000
Predicted: 6945903.0520, Actual: 5250000.0000
Predicted: 4256257.1868, Actual: 2835000.0000
Predicted: 3494909.2382, Actual: 3234000.0000
Predicted: 4917540.2319, Actual: 4060000.0000
Predicted: 2632659.5658, Actual: 3465000.0000
Predicted: 3361886.0071, Actual: 2485000.0000
Predicted: 4787917.3867, Actual: 4830000.0000
Predicted: 5242511.3532, Actual: 4480000.0000
Predicted: 5349677.2545, Actual: 3850000.0000
Predicted: 2556748.4706, Actual: 3150000.0000
Predicted: 6201986.5128, Actual: 5950000.0000
Predicted: 4051642.3184, Actual: 4123000.0000
Predicted: 3029598.9270, Actual: 2450000.0000
Predicted: 5927964.7580, Actual: 4760000.0000
Predicted: 5232432.7389, Actual: 5803000.0000
Predicted: 3176096.1436, Actual: 3080000.0000
Predicted: 5229750.9671, Actual: 5075000.0000
Predicted: 3318912.2055, Actual: 3500000.0000
Predicted: 4222735.5460, Actual: 4200000.0000
Predicted: 6180308.3654, Actual: 5530000.0000
Predicted: 3415240.6304, Actual: 3920000.0000
Predicted: 5577426.2661, Actual: 3990000.0000
Predicted: 4791800.6500, Actual: 3780000.0000
Predicted: 3524734.7146, Actual: 3118850.0000
Predicted: 5053138.5812, Actual: 4098500.0000
Predicted: 5191362.5462, Actual: 3150000.0000
Predicted: 2647360.5737, Actual: 2940000.0000
Predicted: 4088164.0427, Actual: 4620000.0000
Predicted: 4113930.1906, Actual: 4165000.0000
Predicted: 4050965.0647, Actual: 4165000.0000
Predicted: 3454854.9261, Actual: 4305000.0000
Predicted: 3135047.1100, Actual: 2660000.0000
Predicted: 3028040.6739, Actual: 3493000.0000
Predicted: 4787440.0678, Actual: 4893000.0000
Predicted: 7446588.5680, Actual: 6440000.0000
Predicted: 3610737.0189, Actual: 5866000.0000
Predicted: 5097903.0772, Actual: 2590000.0000
Predicted: 3242243.6899, Actual: 1750000.0000
Predicted: 5270885.6550, Actual: 2660000.0000
Predicted: 4154275.0632, Actual: 3710000.0000
Predicted: 5774977.4132, Actual: 5005000.0000
Predicted: 6463202.3207, Actual: 7343000.0000
Predicted: 5903588.7749, Actual: 5250000.0000
Predicted: 2696165.7931, Actual: 2345000.0000
Predicted: 7740625.1828, Actual: 8080940.0000
Predicted: 4253978.7842, Actual: 4270000.0000
Predicted: 4000043.1868, Actual: 4270000.0000
Predicted: 6299250.7350, Actual: 5880000.0000
Predicted: 4575222.4221, Actual: 2380000.0000
Predicted: 3312511.1677, Actual: 2940000.0000
Predicted: 4573579.7557, Actual: 3640000.0000
Predicted: 4203310.9720, Actual: 6107500.0000
Predicted: 8185918.3748, Actual: 12215000.0000
Predicted: 3111405.9878, Actual: 3675000.0000
Predicted: 2262678.0728, Actual: 2275000.0000
Predicted: 5823346.6414, Actual: 6020000.0000
Predicted: 6596971.2190, Actual: 8400000.0000
Predicted: 7401374.4781, Actual: 6650000.0000
Predicted: 6132590.7148, Actual: 7875000.0000
Predicted: 4383824.4907, Actual: 3640000.0000
Predicted: 6099791.4640, Actual: 6090000.0000
Predicted: 2316638.8479, Actual: 3255000.0000
Predicted: 4738229.3525, Actual: 3850000.0000
Predicted: 3018644.8878, Actual: 3325000.0000
Predicted: 5776642.0808, Actual: 5285000.0000
Predicted: 5197668.6343, Actual: 4550000.0000
Predicted: 4585706.6761, Actual: 4550000.0000
Predicted: 5974960.9978, Actual: 5950000.0000
Predicted: 3677565.6277, Actual: 4445000.0000
Predicted: 4867292.2065, Actual: 4382000.0000
Predicted: 5190549.8739, Actual: 6895000.0000
Predicted: 5562298.5480, Actual: 5950000.0000


Model: RandomForestRegressor
Predictions vs Actual Values:
Predicted: 5903030.0000, Actual: 5229000.0000
Predicted: 4108440.0000, Actual: 4690000.0000
Predicted: 2367435.0000, Actual: 2660000.0000
Predicted: 5867540.0000, Actual: 8645000.0000
Predicted: 4381755.0000, Actual: 4900000.0000
Predicted: 7288890.0000, Actual: 6195000.0000
Predicted: 6556830.0000, Actual: 8400000.0000
Predicted: 6606495.0000, Actual: 12250000.0000
Predicted: 4646845.0000, Actual: 6230000.0000
Predicted: 5568150.0000, Actual: 5600000.0000
Predicted: 7391125.0000, Actual: 7525000.0000
Predicted: 4609850.0000, Actual: 5495000.0000
Predicted: 4790800.0000, Actual: 4970000.0000
Predicted: 4291630.0000, Actual: 5530000.0000
Predicted: 4541880.0000, Actual: 5600000.0000
Predicted: 6616995.0000, Actual: 5950000.0000
Predicted: 3210900.0000, Actual: 2653000.0000
Predicted: 7343035.0000, Actual: 7210000.0000
Predicted: 4254040.0000, Actual: 4319000.0000
Predicted: 3445400.0000, Actual: 2835000.0000
Predicted: 3191783.0000, Actual: 4340000.0000
Predicted: 4090030.0000, Actual: 5740000.0000
Predicted: 4739626.5000, Actual: 3640000.0000
Predicted: 4176264.1667, Actual: 3780000.0000
Predicted: 3254510.0000, Actual: 2520000.0000
Predicted: 3982300.0000, Actual: 3990000.0000
Predicted: 9007950.0000, Actual: 8400000.0000
Predicted: 3420690.0000, Actual: 3360000.0000
Predicted: 4431000.0000, Actual: 4165000.0000
Predicted: 6017200.0000, Actual: 5320000.0000
Predicted: 3544590.0000, Actual: 3675000.0000
Predicted: 3614800.0000, Actual: 2800000.0000
Predicted: 3297980.0000, Actual: 3220000.0000
Predicted: 3557645.0000, Actual: 3710000.0000
Predicted: 3293173.3333, Actual: 2695000.0000
Predicted: 3909150.0000, Actual: 2660000.0000
Predicted: 5212060.0000, Actual: 5243000.0000
Predicted: 7479255.0000, Actual: 5250000.0000
Predicted: 3980340.0000, Actual: 2835000.0000
Predicted: 3229660.0000, Actual: 3234000.0000
Predicted: 4771830.0000, Actual: 4060000.0000
Predicted: 2820090.0000, Actual: 3465000.0000
Predicted: 3171140.0000, Actual: 2485000.0000
Predicted: 5533990.0000, Actual: 4830000.0000
Predicted: 4668405.0000, Actual: 4480000.0000
Predicted: 5292350.0000, Actual: 3850000.0000
Predicted: 3137750.0000, Actual: 3150000.0000
Predicted: 5721660.0000, Actual: 5950000.0000
Predicted: 4167870.0000, Actual: 4123000.0000
Predicted: 3303300.0000, Actual: 2450000.0000
Predicted: 5786620.0000, Actual: 4760000.0000
Predicted: 5869430.0000, Actual: 5803000.0000
Predicted: 3318000.0000, Actual: 3080000.0000
Predicted: 4299330.0000, Actual: 5075000.0000
Predicted: 2700250.0000, Actual: 3500000.0000
Predicted: 3220035.0000, Actual: 4200000.0000
Predicted: 6200460.0000, Actual: 5530000.0000
Predicted: 3662610.0000, Actual: 3920000.0000
Predicted: 5408270.0000, Actual: 3990000.0000
Predicted: 4178230.0000, Actual: 3780000.0000
Predicted: 3273567.5000, Actual: 3118850.0000
Predicted: 4571070.0000, Actual: 4098500.0000
Predicted: 6611850.0000, Actual: 3150000.0000
Predicted: 2525460.0000, Actual: 2940000.0000
Predicted: 4446575.0000, Actual: 4620000.0000
Predicted: 4779005.0000, Actual: 4165000.0000
Predicted: 4161325.0000, Actual: 4165000.0000
Predicted: 3615850.0000, Actual: 4305000.0000
Predicted: 3232869.5000, Actual: 2660000.0000
Predicted: 2956625.0000, Actual: 3493000.0000
Predicted: 4545730.0000, Actual: 4893000.0000
Predicted: 9571100.0000, Actual: 6440000.0000
Predicted: 3986570.0000, Actual: 5866000.0000
Predicted: 4235140.0000, Actual: 2590000.0000
Predicted: 3206210.0000, Actual: 1750000.0000
Predicted: 4200420.0000, Actual: 2660000.0000
Predicted: 4097030.0000, Actual: 3710000.0000
Predicted: 5683020.0000, Actual: 5005000.0000
Predicted: 7027300.0000, Actual: 7343000.0000
Predicted: 6185130.0000, Actual: 5250000.0000
Predicted: 3125850.0000, Actual: 2345000.0000
Predicted: 8087975.0000, Actual: 8080940.0000
Predicted: 3584350.0000, Actual: 4270000.0000
Predicted: 3972570.0000, Actual: 4270000.0000
Predicted: 6272630.0000, Actual: 5880000.0000
Predicted: 4259290.0000, Actual: 2380000.0000
Predicted: 3595830.0000, Actual: 2940000.0000
Predicted: 3985100.0000, Actual: 3640000.0000
Predicted: 3934175.0000, Actual: 6107500.0000
Predicted: 10134460.0000, Actual: 12215000.0000
Predicted: 3567200.0000, Actual: 3675000.0000
Predicted: 3118325.0000, Actual: 2275000.0000
Predicted: 5705490.0000, Actual: 6020000.0000
Predicted: 5823860.0000, Actual: 8400000.0000
Predicted: 6755000.0000, Actual: 6650000.0000
Predicted: 5707310.0000, Actual: 7875000.0000
Predicted: 4138505.0000, Actual: 3640000.0000
Predicted: 6030605.0000, Actual: 6090000.0000
Predicted: 2931705.0000, Actual: 3255000.0000
Predicted: 4375140.0000, Actual: 3850000.0000
Predicted: 3427671.3333, Actual: 3325000.0000
Predicted: 5473580.0000, Actual: 5285000.0000
Predicted: 4936750.0000, Actual: 4550000.0000
Predicted: 4539885.0000, Actual: 4550000.0000
Predicted: 6060040.0000, Actual: 5950000.0000
Predicted: 4343500.0000, Actual: 4445000.0000
Predicted: 5062540.0000, Actual: 4382000.0000
Predicted: 6466950.0000, Actual: 6895000.0000
Predicted: 5976810.0000, Actual: 5950000.0000


Model: KNeighborsRegressor
Predictions vs Actual Values:
Predicted: 6070400.0000, Actual: 5229000.0000
Predicted: 4127200.0000, Actual: 4690000.0000
Predicted: 2557800.0000, Actual: 2660000.0000
Predicted: 5887000.0000, Actual: 8645000.0000
Predicted: 4093600.0000, Actual: 4900000.0000
